unix,date,time,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1.62374E+12,15-06-21,06:00:00,SOL/USDT,40.613,41.215,40.482,40.738,140748.881,5754071.656,9664
1.62373E+12,15-06-21,05:00:00,SOL/USDT,41.196,41.344,40.357,40.631,242026.754,9843323.195,16103
1.62373E+12,15-06-21,04:00:00,SOL/USDT,40.546,41.2,40.416,41.196,123450.367,5042367.378,9608
1.62373E+12,15-06-21,03:00:00,SOL/USDT,40.555,40.991,40.167,40.545,146566.739,5951313.598,13561
1.62372E+12,15-06-21,02:00:00,SOL/USDT,39.575,40.623,39.55,40.551,205836.153,8268539.862,15309
1.62372E+12,15-06-21,01:00:00,SOL/USDT,39.668,40.09,39.355,39.569,124307.588,4927550.836,9100
1.62372E+12,15-06-21,00:00:00,SOL/USDT,39.7,40.155,39.323,39.637,182873.437,7288566.084,15103
1.62371E+12,14-06-21,23:00:00,SOL/USDT,39.118,39.88,39.02,39.694,90923.593,3588425.564,8182
1.62371E+12,14-06-21,22:00:00,SOL/USDT,39.165,39.437,38.934,39.122,76126.159,2982164.201,5027
1.6237E+12,14-06-21,21:00:00,SOL/USDT,38.742,39.293,38.699,39.159,110485.465,4306389.252,7011
1.6237E+12,14-06-21,20:00:00,SOL/USDT,39.005,39.253,38.643,38.741,95141.316,3706299.364,6160
1.6237E+12,14-06-21,19:00:00,SOL/USDT,38.764,39.104,38.462,39.002,140302.64,5442107.448,9690
1.62369E+12,14-06-21,18:00:00,SOL/USDT,39.723,39.879,38.6,38.769,203322.039,7964362.784,13684
1.62369E+12,14-06-21,17:00:00,SOL/USDT,39.651,39.999,39.385,39.726,198403.743,7877478.649,12651
1.62369E+12,14-06-21,16:00:00,SOL/USDT,39.88,40.561,39.141,39.673,536830.656,21407662.22,39418
1.62368E+12,14-06-21,15:00:00,SOL/USDT,38.273,40.012,38.265,39.862,417207.146,16325557.77,32123
1.62368E+12,14-06-21,14:00:00,SOL/USDT,38.281,38.845,37.951,38.265,356580.72,13715540.42,22054
1.62368E+12,14-06-21,13:00:00,SOL/USDT,37.136,38.95,37.03,38.28,482362.551,18458563.51,36093
1.62367E+12,14-06-21,12:00:00,SOL/USDT,37.32,37.349,36.627,37.128,184604.337,6825722.776,13198
1.62367E+12,14-06-21,11:00:00,SOL/USDT,37.481,37.649,37.144,37.323,100159.814,3748141.315,6876
1.62366E+12,14-06-21,10:00:00,SOL/USDT,37.142,37.514,37.015,37.486,100024.014,3727721.803,7020
1.62366E+12,14-06-21,09:00:00,SOL/USDT,37.125,37.555,37.061,37.137,122657.387,4573512.958,9163
1.62366E+12,14-06-21,08:00:00,SOL/USDT,37.792,37.862,36.981,37.134,207092.187,7717449.37,16368
1.62365E+12,14-06-21,07:00:00,SOL/USDT,38.074,38.171,37.615,37.783,148487.168,5630086.075,9934
1.62365E+12,14-06-21,06:00:00,SOL/USDT,38.2,38.235,37.678,38.086,115590.741,4389694.488,8204
1.62365E+12,14-06-21,05:00:00,SOL/USDT,37.995,38.282,37.7,38.19,127691.494,4847172.595,8099
1.62364E+12,14-06-21,04:00:00,SOL/USDT,37.88,38.124,37.631,37.99,117229.469,4442629.577,7735
1.62364E+12,14-06-21,03:00:00,SOL/USDT,38.443,38.527,37.645,37.871,135712.852,5153333.932,10990
1.62364E+12,14-06-21,02:00:00,SOL/USDT,38.635,38.847,38.315,38.434,113881.827,4389941.043,7330
1.62363E+12,14-06-21,01:00:00,SOL/USDT,38.27,39.244,38.21,38.63,250147.393,9708181.874,13863
1.62363E+12,14-06-21,00:00:00,SOL/USDT,38.713,39.077,38.12,38.266,159179.568,6129619.598,11696
1.62363E+12,13-06-21,23:00:00,SOL/USDT,38.789,38.89,38.351,38.706,95083.125,3670369.798,7528
1.62362E+12,13-06-21,22:00:00,SOL/USDT,38.825,38.952,38.228,38.79,149382.554,5776963.387,11613
1.62362E+12,13-06-21,21:00:00,SOL/USDT,39.181,39.258,38.459,38.796,186759.103,7248475.687,14156
1.62361E+12,13-06-21,20:00:00,SOL/USDT,38.1,39.442,38.1,39.205,403299.112,15727486.47,31232
