unix,date,time,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1.6164E+12,22-03-21,09:00:00,USDC/USDT,1.0001,1.0002,0.9995,1,4781099.78,4780860.552,1887
1.6164E+12,22-03-21,08:00:00,USDC/USDT,0.9999,1.0002,0.9999,1.0001,3163786.54,3164075.397,1714
1.6164E+12,22-03-21,07:00:00,USDC/USDT,1,1.0001,0.9997,1,2034939.44,2034845.879,1352
1.61639E+12,22-03-21,06:00:00,USDC/USDT,1,1.0001,1,1,1601349.45,1601429.639,1058
1.61639E+12,22-03-21,05:00:00,USDC/USDT,0.9999,1.0001,0.9998,1,1733455.1,1733413.714,921
1.61639E+12,22-03-21,04:00:00,USDC/USDT,1,1.0002,0.9998,0.9999,2031393.32,2031243.515,775
1.61638E+12,22-03-21,03:00:00,USDC/USDT,0.9999,1.0002,0.9997,0.9999,8913886.28,8914103.471,2315
1.61638E+12,22-03-21,02:00:00,USDC/USDT,0.9997,1.0001,0.999,0.9999,11500758.43,11496249.39,2030
1.61637E+12,22-03-21,01:00:00,USDC/USDT,0.9995,0.9997,0.9993,0.9997,4015366.67,4013327.976,1336
1.61637E+12,22-03-21,00:00:00,USDC/USDT,0.9997,0.9998,0.9991,0.9996,2885171.62,2884111.602,1209
1.61637E+12,21-03-21,23:00:00,USDC/USDT,0.9995,1,0.9992,0.9998,6530179.65,6527721.597,1974
1.61636E+12,21-03-21,22:00:00,USDC/USDT,0.9994,0.9995,0.9993,0.9995,3203050.48,3201059.001,1563
1.61636E+12,21-03-21,21:00:00,USDC/USDT,0.9994,0.9995,0.9993,0.9995,2896697.85,2894864.114,1830
1.61636E+12,21-03-21,20:00:00,USDC/USDT,0.9994,0.9995,0.9993,0.9993,3004183.69,3002389.413,2128
1.61635E+12,21-03-21,19:00:00,USDC/USDT,0.9994,0.9995,0.9993,0.9993,2689030.53,2687296.213,1811
1.61635E+12,21-03-21,18:00:00,USDC/USDT,0.9996,0.9997,0.9993,0.9995,4921064.96,4918519.412,1893
1.61635E+12,21-03-21,17:00:00,USDC/USDT,0.9995,0.9996,0.9994,0.9995,2397558.07,2396384.997,1553
1.61634E+12,21-03-21,16:00:00,USDC/USDT,0.9996,0.9999,0.9993,0.9994,4307451.36,4305227.781,2098
1.61634E+12,21-03-21,15:00:00,USDC/USDT,0.9994,0.9997,0.9993,0.9996,5311841.62,5309036.866,1862
1.61634E+12,21-03-21,14:00:00,USDC/USDT,0.9995,0.9995,0.9994,0.9994,2422086.51,2420802.378,935
1.61633E+12,21-03-21,13:00:00,USDC/USDT,0.9997,0.9999,0.9994,0.9995,4672487.28,4670882.52,1532
1.61633E+12,21-03-21,12:00:00,USDC/USDT,0.9998,1.0002,0.9997,0.9997,4562528.92,4561950.077,1475
